Lead_ID,Lead_Date,Lead_Source,Industry,Region,Company_Size,Employee_Count,Annual_Revenue_Estimate,Use_Case,Website_Visits_30D,Email_Open_Rate,Sales_Calls_Count,Demo_Requested,Proposal_Sent,Budget_Confirmed,Decision_Maker_Involved,Competitor_Considered,Discount_Offered_Percent,Days_In_Pipeline,Estimated_Deal_Value,Lead_Score,Sales_Rep,Deal_Won
L0001,2026-04-08,Webinar,Retail,Ontario,Small,13,"$2,185,044",Marketing Automation,1,28%,1,No,No,Yes,No,No,0.4,29,"$1,500",40,Rep D,No
L0002,2026-02-04,Google Search,Retail,Ontario,Large,873,"$17,882,397",Marketing Automation,11,21%,5,Yes,Yes,Yes,Yes,Yes,17.0,41,"$60,925",79,Rep C,Yes
L0003,2026-02-01,Email Campaign,Technology,Ontario,Medium,235,"$9,671,758",Customer Analytics,14,35%,1,Yes,No,No,Yes,No,11.6,1,"$16,408",66,Rep C,Yes
L0004,2026-04-09,Email Campaign,Manufacturing,Alberta,Medium,88,"$12,313,739",Customer Analytics,18,49%,0,No,No,Yes,No,No,5.2,20,"$8,580",43,Rep C,No
L0005,2026-01-31,Email Campaign,Retail,Quebec,Medium,220,"$11,200,203",Workflow Automation,10,31%,1,No,No,No,No,No,10.1,31,"$22,890",32,Rep E,No
L0006,2026-02-13,LinkedIn Ads,Hospitality,Prairies,Small,43,"$2,524,946",CRM Automation,12,20%,2,No,Yes,Yes,No,No,14.0,9,"$2,058",61,Rep C,Yes
L0007,2026-03-28,LinkedIn Ads,Manufacturing,British Columbia,Small,23,"$466,003",CRM Automation,8,38%,4,No,Yes,No,Yes,Yes,13.4,21,"$1,618",53,Rep D,No
L0008,2026-04-21,Email Campaign,Technology,Ontario,Large,713,"$43,145,646",CRM Automation,21,27%,5,Yes,Yes,Yes,Yes,Yes,6.8,49,"$52,355",84,Rep E,Yes
L0009,2026-04-19,Referral,Retail,Quebec,Enterprise,6885,"$298,623,395",Marketing Automation,22,40%,4,Yes,Yes,Yes,Yes,Yes,22.7,61,"$305,855",90,Rep B,Yes
L0010,2026-01-13,Google Search,Manufacturing,British Columbia,Small,34,"$1,368,365",Workflow Automation,0,26%,2,No,Yes,No,Yes,No,15.6,23,"$2,372",47,Rep A,No
L0011,2026-03-29,LinkedIn Ads,Healthcare,Ontario,Enterprise,6357,"$208,522,356",Workflow Automation,17,27%,0,Yes,No,Yes,No,No,9.1,44,"$346,313",63,Rep E,Yes
L0012,2026-04-26,Webinar,Healthcare,Quebec,Large,508,"$14,461,160",CRM Automation,19,21%,3,Yes,Yes,No,No,No,8.3,33,"$29,528",66,Rep E,Yes
L0013,2026-01-14,Organic Website,Professional Services,Ontario,Small,55,"$2,064,248",Marketing Automation,18,2%,3,Yes,Yes,Yes,No,No,0.0,37,"$3,153",73,Rep D,Yes
L0014,2026-02-25,Referral,Retail,Quebec,Small,29,"$1,105,339",Customer Analytics,12,37%,1,No,No,No,Yes,No,4.1,36,"$1,660",61,Rep E,Yes
L0015,2026-03-31,Google Search,Technology,Quebec,Enterprise,6893,"$255,931,923",Workflow Automation,35,23%,4,No,No,No,No,Yes,26.0,60,"$579,518",27,Rep A,No
L0016,2026-02-12,Google Search,Retail,Quebec,Enterprise,2721,"$181,274,557",Workflow Automation,18,39%,3,Yes,Yes,Yes,No,No,8.4,41,"$205,005",81,Rep D,Yes
L0017,2026-03-01,LinkedIn Ads,Professional Services,Ontario,Small,12,"$509,258",CRM Automation,0,21%,0,Yes,No,No,No,No,11.4,24,"$1,500",33,Rep E,No
L0018,2026-02-12,LinkedIn Ads,Healthcare,Atlantic Canada,Medium,189,"$13,294,743",Marketing Automation,10,34%,3,No,No,Yes,No,No,3.8,23,"$16,325",50,Rep E,Yes
L0019,2026-04-05,Google Search,Manufacturing,Ontario,Small,34,"$540,126",Marketing Automation,0,46%,2,No,No,No,No,Yes,15.7,13,"$3,206",23,Rep D,No
L0020,2026-04-23,Webinar,Manufacturing,Ontario,Small,61,"$1,831,560",CRM Automation,15,37%,3,No,Yes,Yes,No,Yes,12.3,32,"$4,242",59,Rep C,Yes
L0021,2026-01-15,Referral,Technology,Alberta,Small,57,"$2,707,331",CRM Automation,11,36%,3,Yes,Yes,,Yes,No,8.4,23,"$4,529",79,Rep A,Yes
L0022,2026-03-04,Email Campaign,Retail,Ontario,Medium,220,"$8,025,048",Sales Forecasting,12,20%,1,No,No,Yes,No,No,0.0,38,"$8,980",45,Rep E,No
L0023,2026-03-04,LinkedIn Ads,Professional Services,British Columbia,Large,716,"$34,127,612",Sales Forecasting,23,14%,3,No,Yes,Yes,No,No,11.4,33,"$56,645",63,Rep D,Yes
L0024,2026-02-12,Google Search,Technology,Quebec,Large,808,"$23,195,135",Customer Analytics,16,12%,1,Yes,Yes,No,Yes,No,8.5,24,"$59,667",76,Rep D,Yes
L0025,2026-01-17,Referral,Education,Ontario,Small,38,"$2,312,092",Customer Analytics,15,36%,2,Yes,Yes,Yes,Yes,No,10.3,18,"$2,886",98,Rep D,Yes
L0026,2026-03-08,Webinar,Technology,Ontario,Small,38,"$1,980,194",Sales Forecasting,6,42%,1,Yes,Yes,Yes,No,Yes,14.8,34,"$3,473",55,Rep B,Yes
L0027,2026-04-29,Referral,Professional Services,Ontario,Medium,220,"$15,040,017",Sales Forecasting,12,32%,2,Yes,Yes,No,Yes,Yes,17.8,28,"$15,292",67,Rep C,Yes
L0028,2026-03-19,Google Search,Technology,British Columbia,Large,409,"$25,063,361",CRM Automation,10,16%,5,No,Yes,Yes,Yes,No,5.4,24,"$45,005",76,Rep A,Yes
