claim_id,age,age_group,gender,region,policy_type,customer_segment,vehicle_age_years,driving_experience_years,annual_premium,coverage_amount,previous_claims,claim_amount,accident_severity,police_report_filed,customer_tenure_years,payment_history_score,claim_processing_days,claim_approved
C0001,35,26-35,Male,East,Standard,New,15,7,1093.07,50010,1,27138.83,High,Yes,0,93,15,0
C0002,51,51+,Male,North,Standard,Loyal,4,33,1874.15,52321,3,3834.95,Medium,Yes,13,52,13,1
C0003,21,18-25,Male,West,Basic,Loyal,17,3,1937.28,14192,1,1702.33,Low,No,9,62,35,0
C0004,59,51+,Female,West,Basic,Regular,4,37,2211.03,11920,0,5289.16,High,Yes,5,47,31,1
C0005,32,26-35,Male,West,Premium,Regular,12,12,2490.05,64990,1,3635.48,Low,Yes,3,49,41,0
C0006,43,36-50,Female,East,Basic,Loyal,5,25,3728.98,20461,1,2443.77,Low,Yes,13,95,23,1
C0007,65,51+,Female,West,Standard,New,12,40,1702.91,41551,0,3039.0,Low,No,1,75,8,1
C0008,58,51+,Female,West,Basic,Regular,16,40,1593.98,14434,0,1282.6,Low,Yes,6,85,8,1
C0009,20,18-25,Male,West,Premium,Loyal,2,0,3726.39,90160,1,33256.84,Medium,Yes,6,71,38,1
C0010,45,36-50,Male,South,Standard,Loyal,11,19,1560.07,59055,0,21881.3,Medium,Yes,7,75,41,1
C0011,38,36-50,Female,East,Premium,New,14,19,1833.18,83449,1,12837.35,Medium,No,1,54,24,0
C0012,24,18-25,Male,North,Basic,Regular,12,5,3204.43,14914,3,3393.45,High,No,6,70,9,0
C0013,43,36-50,Female,East,Standard,Loyal,15,15,1851.93,44703,0,17531.94,Medium,Yes,10,95,41,1
C0014,24,18-25,Male,North,Basic,Regular,18,0,2612.53,19730,0,1951.26,Low,No,4,62,31,0
C0015,63,51+,Female,South,Standard,New,5,35,1417.0,50828,1,5468.23,High,No,1,46,9,0
C0016,43,36-50,Male,West,Standard,Loyal,8,15,3093.39,59044,1,35654.21,High,Yes,12,77,27,1
C0017,24,18-25,Female,North,Basic,Loyal,5,2,1654.83,17595,2,2720.56,Low,No,7,52,37,0
C0018,38,36-50,Male,North,Standard,Regular,12,20,1112.27,32845,0,5165.79,Low,No,4,81,32,1
C0019,69,51+,Male,West,Standard,Regular,5,51,,55401,0,37542.38,High,Yes,4,69,27,1
C0020,30,26-35,Male,East,Premium,Loyal,6,7,1233.83,87912,0,11777.26,Low,Yes,8,74,16,1
C0021,22,18-25,Male,North,Standard,Regular,10,0,2744.13,58194,3,23050.92,High,Yes,6,60,15,0
C0022,57,51+,Male,South,Basic,Loyal,12,36,1521.42,14973,0,2883.55,Medium,Yes,7,69,38,1
C0023,27,26-35,Female,North,Basic,Regular,17,5,3436.62,27295,1,7375.16,Medium,Yes,3,61,23,0
C0024,36,36-50,Female,North,Standard,Loyal,13,18,1599.51,25360,0,4797.22,Medium,Yes,9,95,5,1
C0025,46,36-50,Female,North,Basic,Regular,0,23,3481.6,22325,0,1581.64,Low,No,2,49,39,0
C0026,35,26-35,Female,North,Basic,Loyal,10,11,2549.04,26355,2,9648.36,Medium,Yes,13,86,41,1
C0027,23,18-25,Female,North,Basic,Regular,12,0,3313.86,23263,3,5904.15,Medium,No,5,72,29,0
C0028,42,36-50,Female,North,Standard,New,16,17,860.97,52480,0,3540.41,Low,Yes,0,80,36,1
C0029,68,51+,Female,North,Basic,New,3,43,1218.45,24902,1,3967.81,Medium,Yes,2,77,38,0
C0030,21,18-25,Female,North,Basic,Regular,13,1,2026.3,27043,3,4075.1,Low,Yes,6,64,37,0
C0031,30,26-35,Female,East,Standard,Loyal,18,4,1619.0,52933,3,21831.15,High,Yes,7,93,35,0
C0032,66,51+,Female,South,Premium,New,4,42,1550.23,70044,0,7705.27,Low,No,2,84,26,1
