Order_ID,Purchase_Date,Customer_Age,Customer_Segment,Region,Product_Category,Product_Price,Discount_Percent,Promotion_Type,Purchase_Channel,Payment_Method,Shipping_Method,Delivery_Time_Days,Items_In_Order,Previous_Orders,Prior_Return_Count,Product_Rating,Size_Fit_Issue_Level,Product_Page_Views,Customer_Support_Contact,Return_Window_Days,Returned
ORD-10116,14/02/2026,43,New Customer,British Columbia,Beauty,388.21,0,No Promotion,Mobile App,Credit Card,Express,3,6,2,0,4.1,Low,11,No,14,Yes
ORD-10179,31/05/2026,30,New Customer,British Columbia,Home & Kitchen,65.04,,No Promotion,Mobile App,Credit Card,Standard,7,2,2,0,4.1,High,1,No,60,No
ORD-10088,14/02/2026,41,New Customer,Atlantic Canada,Home & Kitchen,112.13,0,No Promotion,Website,Buy Now Pay Later,Express,2,5,1,0,3.6,Low,6,No,30,No
ORD-10411,13/03/2026,38,Returning Customer,British Columbia,Home & Kitchen,143.35,25,Percentage Discount,Marketplace,PayPal,Express,2,3,9,0,5,Low,4,Yes,60,No
ORD-10005,09/05/2026,40,Returning Customer,Atlantic Canada,Home & Kitchen,22.62,0,No Promotion,Mobile App,Buy Now Pay Later,Standard,3,3,4,0,3.3,High,6,Yes,45,Yes
ORD-10175,22/05/2026,58,New Customer,Ontario,Home & Kitchen,168.76,15,Percentage Discount,Mobile App,Debit Card,Express,2,3,0,1,3.2,High,3,No,60,Yes
ORD-10368,17/02/2026,36,VIP Customer,Ontario,Beauty,293.14,5,Bundle Offer,Marketplace,Credit Card,Standard,6,3,12,4,3.9,Low,6,No,45,No
ORD-10268,22/05/2026,38,Discount Shopper,Alberta,Home & Kitchen,360.86,20,Bundle Offer,Website,Debit Card,Standard,6,2,15,2,3.8,Medium,7,No,30,No
ORD-10379,22/01/2026,31,New Customer,Quebec,Apparel,68.98,0,No Promotion,Mobile App,Credit Card,Express,2,4,1,0,3.1,Low,7,No,30,Yes
ORD-10421,11/04/2026,26,Returning Customer,British Columbia,Apparel,27.76,10,Free Shipping,Mobile App,Debit Card,Standard,4,1,10,1,3.7,Low,1,No,45,No
ORD-10110,05/05/2026,41,New Customer,,Home & Kitchen,367.3,5,Bundle Offer,Social Commerce,Debit Card,Standard,6,3,1,0,3.4,Low,5,No,30,Yes
ORD-10303,06/02/2026,35,VIP Customer,Ontario,Apparel,138.28,5,Bundle Offer,Website,PayPal,Express,1,2,20,1,4.4,Medium,6,No,30,Yes
ORD-10077,17/05/2026,25,Discount Shopper,Quebec,Apparel,126.38,30,Percentage Discount,Website,Credit Card,Standard,7,5,14,0,4.7,Medium,4,Yes,45,Yes
ORD-10151,14/01/2026,32,Returning Customer,Prairies,Home & Kitchen,326.55,0,No Promotion,Marketplace,Credit Card,Standard,6,2,0,0,3.3,Low,2,No,30,No
ORD-10447,12/03/2026,22,Returning Customer,British Columbia,Apparel,59.11,10,Bundle Offer,Mobile App,Credit Card,Standard,7,1,19,0,3.2,Low,3,No,45,Yes
ORD-10250,17/01/2026,50,Returning Customer,British Columbia,Footwear,188.02,10,Percentage Discount,Marketplace,Debit Card,Express,3,1,4,2,3.4,High,5,No,45,No
ORD-10359,09/02/2026,33,Returning Customer,British Columbia,Apparel,218.51,0,No Promotion,Website,Credit Card,Express,1,3,5,1,3.9,High,1,No,30,Yes
ORD-10434,07/05/2026,41,Discount Shopper,Ontario,Home & Kitchen,194.3,5,Free Shipping,Website,Credit Card,Express,2,1,2,3,3.7,Low,5,No,60,No
ORD-10406,01/02/2026,31,Returning Customer,Ontario,Footwear,342.59,40,Percentage Discount,Mobile App,Debit Card,Express,2,1,0,2,3.6,Low,6,Yes,30,Yes
ORD-10309,17/05/2026,40,Discount Shopper,Atlantic Canada,Electronics,437.78,30,Percentage Discount,Marketplace,Debit Card,Standard,6,1,8,3,4.2,Medium,3,No,45,Yes
ORD-10377,12/01/2026,42,Discount Shopper,Quebec,Home & Kitchen,294.32,15,Percentage Discount,Website,PayPal,Standard,3,1,12,3,3.9,Medium,5,No,14,No
ORD-10219,16/04/2026,28,New Customer,Atlantic Canada,Accessories,112.82,5,Free Shipping,Mobile App,Debit Card,Standard,4,1,1,1,4.7,Medium,1,No,14,Yes
